X,y,v,d
637847.6583,4342828.999,0.679,0.828600629
637689.6481,4342733.228,0.661,0.694408771
637650.2832,4342696.645,0.38,0.503694802
637364.5438,4342601.289,0.242,1.271880413
637361.6536,4342593.204,0.204,0.634770689
637361.1888,4342591.879,0.195,0.658039121
637324.6094,4342512.573,0.88,0.420681302
637041.282,4342301.379,0.796,0.60060078
636768.1024,4342312.723,0.504,1.123689701
636760.7767,4342304.922,0.539,0.694343544
636757.7032,4342302.357,0.598,0.83632548
636688.593,4342256.795,0.722,1.872109032
636662.2029,4342232.225,0.923,1.602846578
636516.9753,4342092.996,0.679,1.090700892
636435.4555,4342068.851,0.528,0.852361922
636386.4465,4342057.233,0.61,0.953551255
636364.6312,4342051.068,0.682,1.022560718
635916.51,4341923.129,0.338,1.278740546
635914.2684,4341922.836,0.305,1.211316958
635912.2125,4341922.323,0.298,1.158905988
635880.7486,4341890.452,0.529,1.273368751
635861.3835,4341881.698,0.497,1.192597056
635828.3746,4341872.285,0.577,1.081975992
635803.9135,4341866.141,0.613,0.977675261
635779.5942,4341858.804,0.592,1.044866287
635704.7331,4341827.681,0.46,1.666639999
635672.4673,4341831.701,0.547,0.97871219
635657.1599,4341831.275,0.537,0.842074008
635638.1294,4341832.674,0.558,0.882132348
635607.9457,4341837.132,0.495,0.928780769
635565.0596,4341840.092,0.585,1.043633676
635536.9951,4341837.852,0.569,1.355587027
635479.5359,4341833.566,0.781,0.830921376
635425.3907,4341830.36,0.799,0.726253361
635104.2558,4341798.697,1,0.704291911
635097.9025,4341795.935,0.968,0.685323293
635091.4492,4341793.259,1.017,0.697415318
634962.0812,4341736.281,0.54,0.70221287
634947.5924,4341730.261,0.608,1.211091406
634895.8011,4341692.242,0.46,1.492048426
634880.2707,4341681.91,0.347,0.96635255
634870.3329,4341676.105,0.504,0.905619322
634831.4908,4341635.838,0.544,0.634086718
634806.1413,4341610.697,0.601,0.498160243
634789.9797,4341585.282,0.619,0.431615393
634774.1167,4341562.354,0.542,0.491991091
634770.3064,4341555.662,0.569,0.552661531
634730.1228,4341487.474,0.53,0.08409493
634728.5151,4341428.324,0.518,0.901958978
634715.3142,4341392.353,0.537,1.000108846
634705.2007,4341364.191,0.731,0.739487472
634685.4494,4341285.182,1.281,1.277047687
634632.6231,4341213.319,0.53,2.220120223
634622.5171,4341208.474,0.43,2.084258976
634585.1241,4341191.439,0.729,1.282847422
634556.6262,4341176.628,0.506,1.032443858
634544.4755,4341168.406,0.462,0.934528992
634539.5178,4341165.7,0.413,0.844871462
634495.1384,4341141.002,0.385,0.352943465
634492.8428,4341139.671,0.369,0.346534435
634472.572,4341121.479,0.257,0.663750158
634470.7241,4341121.391,0.269,0.604418705
634468.7417,4341121.141,0.299,0.535325422
634435.0707,4341111.347,0.364,0.434671013
637858.8604,4342838.7,0.575,0.87318403
637854.1359,4342837.506,0.575,1.11073692
637849.4952,4342835.809,0.593,0.888131726
637836.6394,4342829.075,0.793,0.840316226
637680.8934,4342743.214,0.741,0.905912234
637653.8874,4342720.701,0.495,1.271024839
637643.7356,4342712.492,0.587,1.183867279
637633.9361,4342705.275,0.561,1.07653897
637631.9576,4342703.989,0.556,1.075534349
637619.9292,4342671.032,0.292,0.514261608
637618.6921,4342668.101,0.223,0.439275626
637618.2273,4342667.303,0.214,0.483882192
637616.7077,4342665.147,0.204,0.504866758
637615.0718,4342663.113,0.21,0.404510138
637612.721,4342660.128,0.242,0.381125578
637611.3733,4342658.437,0.277,0.391734142
637610.6538,4342657.522,0.275,0.405979884
637609.211,4342655.662,0.283,0.473329102
637606.0868,4342651.755,0.307,0.609721006
637602.2271,4342646.28,0.329,0.350880883
637599.2182,4342641.233,0.359,0.256691282
637597.8445,4342638.53,0.355,0.193797631
637597.254,4342637.134,0.363,0.212410548
637584.8379,4342606.63,0.725,0.460795116
637583.2229,4342601.163,0.616,0.981893388
637579.3266,4342589.487,0.533,0.908581978
637301.1989,4342296.803,0.135,1.530980834
637297.332,4342295.07,0.236,1.088194217
637283.9797,4342292.747,0.214,1.494346008
637280.4432,4342292.496,0.21,1.505252057
637261.0769,4342291.227,0.239,1.523953366
637256.7575,4342291.958,0.261,1.538292072
637253.1655,4342292.759,0.322,1.427838343
637248.7762,4342294.084,0.579,1.337174059
637243.4202,4342296.304,0.55,1.522404677
636821.5056,4342328.998,2.431,0.684604574
